halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
,McDonald Observatory,2453383.886,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.5,,10.5,Iodine,Wright
,McDonald Observatory,2453389.783,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,12.8,,25.1,Iodine,Wright
,McDonald Observatory,2453391.781,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.4,,21.5,Iodine,Wright
,McDonald Observatory,2453395.758,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.9,,16.3,Iodine,Wright
,McDonald Observatory,2453399.837,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.3,,10.1,Iodine,Wright
,McDonald Observatory,2453401.823,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.3,,3.1,Iodine,Wright
,McDonald Observatory,2453408.72,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.7,,21.5,Iodine,Wright
,McDonald Observatory,2453416.697,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.5,,20.8,Iodine,Wright
,McDonald Observatory,2453422.699,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.3,,3.1,Iodine,Wright
,McDonald Observatory,2453424.761,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.4,,17.1,Iodine,Wright
,McDonald Observatory,2453429.754,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.3,,19.1,Iodine,Wright
,McDonald Observatory,2453439.645,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.7,,10.2,Iodine,Wright
,McDonald Observatory,2453446.693,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.3,,20.1,Iodine,Wright
,McDonald Observatory,2453447.7,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.3,,2.7,Iodine,Wright
,McDonald Observatory,2453448.708,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8,,4.4,Iodine,Wright
,McDonald Observatory,2453708.9,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9,,3.7,Iodine,Wright
,McDonald Observatory,2453710.893,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.8,,-4.4,Iodine,Wright
,McDonald Observatory,2453713.966,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10,,2.2,Iodine,Wright
,McDonald Observatory,2453723.864,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.8,,2.1,Iodine,Wright
,McDonald Observatory,2453728.928,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.2,,-15.9,Iodine,Wright
,McDonald Observatory,2453734.9,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,11.2,,-15.7,Iodine,Wright
,McDonald Observatory,2453742.803,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.6,,-16.7,Iodine,Wright
,McDonald Observatory,2453746.798,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.6,,2.7,Iodine,Wright
,McDonald Observatory,2453751.793,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.3,,-10.5,Iodine,Wright
,McDonald Observatory,2453753.794,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.4,,-4.9,Iodine,Wright
,McDonald Observatory,2453755.858,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.6,,-8.2,Iodine,Wright
,McDonald Observatory,2453764.756,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.7,,-9.2,Iodine,Wright
,McDonald Observatory,2453773.729,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,11,,6.3,Iodine,Wright
,McDonald Observatory,2453780.79,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.4,,-1.5,Iodine,Wright
,McDonald Observatory,2453802.65,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.3,,6.8,Iodine,Wright
,McDonald Observatory,2454050.975,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.5,,-25.6,Iodine,Wright
,McDonald Observatory,2454053.027,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.5,,-18.5,Iodine,Wright
,McDonald Observatory,2454056.957,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.9,,-32.3,Iodine,Wright
,McDonald Observatory,2454061.022,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.6,,-29.7,Iodine,Wright
,McDonald Observatory,2454064.005,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.3,,-22.3,Iodine,Wright
,McDonald Observatory,2454127.759,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.4,,-29.3,Iodine,Wright
,McDonald Observatory,2454158.756,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.1,,-31.1,Iodine,Wright
,McDonald Observatory,2454161.663,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.8,,-21.2,Iodine,Wright
,McDonald Observatory,2454167.722,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,8.6,,-25.1,Iodine,Wright
,McDonald Observatory,2454420.021,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,11.1,,-50.6,Iodine,Wright
,McDonald Observatory,2454431.992,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.4,,-40.2,Iodine,Wright
0.001316865,La Silla Observatory,2453058.668,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.232125769,0.0043417,HARPS,HD72659,NaN,119.9968,56.3,-10.5702125,1.729,0.395058465,36.48,ThAr,Trifonov
0.001081658,La Silla Observatory,2453060.605,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.241142747,0.012573267,HARPS,HD72659,NaN,119.996,66.5,-11.30031837,1.535,0.394254512,35.848,ThAr,Trifonov
0.000818355,La Silla Observatory,2453312.857,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.24082504,0.013130279,HARPS,HD72659,NaN,422.7,88.1,28.47775081,1.33,0.3990372,22.213,ThAr,Trifonov
0.001413979,La Silla Observatory,2453370.851,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.247126812,0.01795947,HARPS,HD72659,NaN,60.0008,51.6,14.69653724,2.001,0.394307748,23.602,ThAr,Trifonov
0.001385004,La Silla Observatory,2453373.822,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.246040996,0.016679486,HARPS,HD72659,NaN,76.083,53.1,13.46836391,1.878,0.397290314,27.768,ThAr,Trifonov
0.001005138,La Silla Observatory,2453411.693,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.240612885,0.012061284,HARPS,HD72659,NaN,180.0009,72,-4.74583008,1.517,0.39678648,23.178,ThAr,Trifonov
0.001978797,La Silla Observatory,2453489.48,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.244616232,0.012903641,HARPS,HD72659,NaN,63.3821,38.4,-27.85079152,2.523,0.399110561,19.321,ThAr,Trifonov
0.001025245,La Silla Observatory,2453728.817,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.240908909,0.00915099,HARPS,HD72659,NaN,60.001,72.7,17.80989089,1.495,0.398885834,10.179,ThAr,Trifonov
0.000753886,La Silla Observatory,2454122.757,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.237476457,0.01078153,HARPS,HD72659,NaN,199.9991,98.7,4.845462475,1.24,0.393634409,-10.661,ThAr,Trifonov
0.001037796,La Silla Observatory,2454142.708,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.244211732,0.008916336,HARPS,HD72659,NaN,84.5021,72.7,-5.016069179,1.389,0.394558791,-12.923,ThAr,Trifonov
0.001029706,La Silla Observatory,2454166.625,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248476089,0.011020994,HARPS,HD72659,NaN,84.4961,71.3,-15.77548403,1.559,0.396546698,-4.777,ThAr,Trifonov
0.001615962,La Silla Observatory,2454170.638,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.245303146,0.013472027,HARPS,HD72659,NaN,42.2955,45.8,-17.41142215,2.265,0.394008522,-15.885,ThAr,Trifonov
0.001693324,La Silla Observatory,2454172.616,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.250796129,0.010905871,HARPS,HD72659,NaN,42.2984,44.9,-18.11759332,2.289,0.396413989,-18.229,ThAr,Trifonov
0.001504795,La Silla Observatory,2454234.531,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.237198351,0.01412638,HARPS,HD72659,NaN,59.9959,49.3,-27.5538617,2.08,0.394732525,-5.703,ThAr,Trifonov
0.001003341,La Silla Observatory,2454392.877,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.246796524,0.008667512,HARPS,HD72659,NaN,119.9963,73.5,27.46067902,1.506,0.397689801,-25.735,ThAr,Trifonov
0.001612169,La Silla Observatory,2454393.859,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.253333707,0.005827667,HARPS,HD72659,NaN,59.9975,47.4,27.61625282,2.159,0.398595732,-26.067,ThAr,Trifonov
